timestamp,equipment_id,equipment_type,runtime_hours,temperature_c,vibration_mm_s,power_kw,pressure,health_score,anomaly,failure_risk
2024-01-01 07:00:00,EQ_B001,Compressor,6553.4,23.1,4.0,22.53,6.98,68.6,0,61.4
2024-01-01 07:00:00,EQ_B002,Water Pump,9011.9,23.5,5.9,15.2,2.88,32.1,1,97.9
2024-01-01 08:00:00,EQ_M001,Compressor,10267.7,24.7,8.0,23.46,6.43,20.0,1,100.0
2024-01-01 08:00:00,EQ_M002,Water Pump,12002.6,28.1,8.0,15.87,3.07,20.0,1,100.0
2024-01-01 08:00:00,EQ_M003,Air Handler,9434.4,25.5,6.62,11.74,2.88,24.7,1,100.0
2024-01-01 08:00:00,EQ_B001,Compressor,6554.2,24.4,3.49,24.04,7.03,70.1,0,59.9
2024-01-01 08:00:00,EQ_B002,Water Pump,9012.6,24.6,6.35,15.21,3.29,30.8,1,99.2
2024-01-01 09:00:00,EQ_M001,Compressor,10268.7,24.1,7.3,21.24,6.3,20.0,1,100.0
2024-01-01 09:00:00,EQ_M002,Water Pump,12003.3,29.0,8.0,13.3,3.01,20.0,1,100.0
2024-01-01 09:00:00,EQ_M003,Air Handler,9435.2,24.2,7.24,16.36,2.96,22.8,1,100.0
2024-01-01 09:00:00,EQ_B001,Compressor,6554.8,24.0,4.32,25.78,6.15,67.6,0,62.4
2024-01-01 09:00:00,EQ_B002,Water Pump,9013.1,24.8,7.13,13.38,3.01,28.4,1,100.0
2024-01-01 10:00:00,EQ_M001,Compressor,10269.3,25.2,7.44,20.92,6.58,20.0,1,100.0
2024-01-01 10:00:00,EQ_M002,Water Pump,12004.1,26.9,8.0,13.84,2.69,20.0,1,100.0
2024-01-01 10:00:00,EQ_M003,Air Handler,9436.1,24.5,7.18,15.09,3.14,23.0,1,100.0
2024-01-01 10:00:00,EQ_B001,Compressor,6555.5,23.6,3.89,24.16,6.44,68.9,0,61.1
2024-01-01 10:00:00,EQ_B002,Water Pump,9013.8,24.5,7.0,13.12,3.08,28.8,1,100.0
2024-01-01 11:00:00,EQ_M001,Compressor,10270.0,25.4,8.0,23.01,6.71,20.0,1,100.0
2024-01-01 11:00:00,EQ_M002,Water Pump,12004.7,26.7,8.0,17.56,2.91,20.0,1,100.0
2024-01-01 11:00:00,EQ_M003,Air Handler,9437.0,24.3,7.55,13.75,3.12,21.9,1,100.0
2024-01-01 11:00:00,EQ_B001,Compressor,6556.2,24.1,3.91,22.48,6.52,68.8,0,61.2
2024-01-01 11:00:00,EQ_B002,Water Pump,9014.4,24.0,6.73,14.51,2.98,29.6,1,100.0
2024-01-01 12:00:00,EQ_M001,Compressor,10270.7,24.8,7.75,26.15,6.25,20.0,1,100.0
2024-01-01 12:00:00,EQ_M002,Water Pump,12005.4,29.1,8.0,14.7,2.73,20.0,1,100.0
2024-01-01 12:00:00,EQ_M003,Air Handler,9437.7,25.5,7.13,15.86,3.07,23.1,1,100.0
2024-01-01 12:00:00,EQ_B001,Compressor,6556.8,24.5,4.43,24.02,6.08,67.2,0,62.8
2024-01-01 12:00:00,EQ_B002,Water Pump,9015.2,24.9,6.28,14.91,3.0,31.0,1,99.0
2024-01-01 13:00:00,EQ_M001,Compressor,10271.5,25.7,8.0,19.31,6.5,20.0,1,100.0
2024-01-01 13:00:00,EQ_M002,Water Pump,12006.1,30.0,8.0,17.09,3.22,20.0,1,100.0
2024-01-01 13:00:00,EQ_M003,Air Handler,9438.4,24.7,7.11,14.78,2.75,23.2,1,100.0
2024-01-01 13:00:00,EQ_B001,Compressor,6557.4,24.7,4.19,23.48,6.35,68.0,0,62.0
2024-01-01 13:00:00,EQ_B002,Water Pump,9016.1,26.2,6.4,15.38,2.93,30.6,1,99.4
2024-01-01 14:00:00,EQ_M001,Compressor,10272.2,26.0,7.51,19.08,6.79,20.0,1,100.0
2024-01-01 14:00:00,EQ_M002,Water Pump,12006.8,30.6,8.0,11.67,2.89,20.0,1,100.0
2024-01-01 14:00:00,EQ_M003,Air Handler,9439.2,24.6,7.11,14.99,3.04,23.2,1,100.0
2024-01-01 14:00:00,EQ_B001,Compressor,6558.0,25.4,3.94,22.93,6.43,68.7,0,61.3
2024-01-01 14:00:00,EQ_B002,Water Pump,9016.8,24.5,6.55,15.35,3.01,30.1,1,99.9
2024-01-01 15:00:00,EQ_M001,Compressor,10273.1,25.0,7.69,26.62,6.57,20.0,1,100.0
2024-01-01 15:00:00,EQ_M002,Water Pump,12007.7,28.8,8.0,16.04,3.34,20.0,1,100.0
2024-01-01 15:00:00,EQ_M003,Air Handler,9439.8,24.7,6.87,15.97,2.96,23.9,1,100.0
2024-01-01 15:00:00,EQ_B001,Compressor,6559.0,24.9,4.35,23.85,6.09,67.5,0,62.5
2024-01-01 15:00:00,EQ_B002,Water Pump,9017.7,24.4,6.41,13.17,2.89,30.5,1,99.5
2024-01-01 16:00:00,EQ_M001,Compressor,10273.8,26.0,8.0,22.38,6.17,20.0,1,100.0
2024-01-01 16:00:00,EQ_M002,Water Pump,12008.3,28.4,8.0,14.49,2.43,20.0,1,100.0
2024-01-01 16:00:00,EQ_M003,Air Handler,9440.3,23.8,6.58,14.6,2.9,24.8,1,100.0
2024-01-01 16:00:00,EQ_B001,Compressor,6559.7,24.8,3.77,24.69,6.15,69.2,0,60.8
2024-01-01 16:00:00,EQ_B002,Water Pump,9018.6,23.5,6.68,14.13,2.96,29.7,1,100.0
2024-01-01 17:00:00,EQ_M001,Compressor,10274.4,26.8,8.0,19.9,6.83,20.0,1,100.0
2024-01-01 17:00:00,EQ_M002,Water Pump,12009.1,28.4,8.0,13.17,2.8,20.0,1,100.0
2024-01-01 17:00:00,EQ_M003,Air Handler,9440.9,24.7,6.6,15.08,3.17,24.7,1,100.0
2024-01-01 17:00:00,EQ_B001,Compressor,6560.6,26.0,3.74,22.99,6.29,69.3,0,60.7
2024-01-01 17:00:00,EQ_B002,Water Pump,9019.4,23.9,6.97,14.61,2.99,28.8,1,100.0
2024-01-01 18:00:00,EQ_M001,Compressor,10275.2,26.7,7.77,20.75,6.41,20.0,1,100.0
2024-01-01 18:00:00,EQ_M002,Water Pump,12009.7,28.5,8.0,13.8,2.95,20.0,1,100.0
2024-01-01 18:00:00,EQ_M003,Air Handler,9441.7,24.3,7.25,15.67,3.15,22.7,1,100.0
2024-01-01 18:00:00,EQ_B001,Compressor,6561.1,24.3,3.76,23.12,6.66,69.2,0,60.8
2024-01-01 18:00:00,EQ_B002,Water Pump,9020.2,24.7,6.95,13.22,2.8,28.9,1,100.0
2024-01-01 19:00:00,EQ_M001,Compressor,10276.0,26.3,8.0,21.71,6.12,20.0,1,100.0
2024-01-01 19:00:00,EQ_M002,Water Pump,12010.3,30.2,8.0,15.83,3.06,20.0,1,100.0
2024-01-01 19:00:00,EQ_M003,Air Handler,9442.5,24.0,6.55,14.67,2.78,24.8,1,100.0
2024-01-01 19:00:00,EQ_B001,Compressor,6561.8,25.4,4.18,23.56,7.0,67.9,0,62.1
2024-01-01 19:00:00,EQ_B002,Water Pump,9021.1,25.4,6.76,17.47,3.07,29.4,1,100.0
2024-01-01 20:00:00,EQ_M001,Compressor,10277.0,23.4,8.0,20.7,6.29,20.0,1,100.0
2024-01-01 20:00:00,EQ_M002,Water Pump,12011.0,26.4,8.0,13.79,2.92,20.0,1,100.0
2024-01-01 20:00:00,EQ_M003,Air Handler,9443.3,25.0,6.54,15.15,3.06,24.8,1,100.0
2024-01-01 20:00:00,EQ_B001,Compressor,6562.4,25.2,3.91,23.56,6.77,68.7,0,61.3
2024-01-01 20:00:00,EQ_B002,Water Pump,9021.7,26.1,6.59,13.75,2.84,30.0,1,100.0
2024-01-01 21:00:00,EQ_M001,Compressor,10277.6,25.7,7.38,22.92,6.62,20.0,1,100.0
2024-01-01 21:00:00,EQ_M002,Water Pump,12011.7,27.0,8.0,14.54,3.23,20.0,1,100.0
2024-01-01 21:00:00,EQ_M003,Air Handler,9443.9,23.8,6.68,13.44,2.83,24.4,1,100.0
2024-01-01 21:00:00,EQ_B001,Compressor,6563.1,24.5,4.33,21.23,6.66,67.5,0,62.5
2024-01-01 21:00:00,EQ_B002,Water Pump,9022.4,25.2,6.78,15.59,2.92,29.4,1,100.0
2024-01-01 22:00:00,EQ_M001,Compressor,10278.3,24.9,7.98,20.89,6.81,20.0,1,100.0
2024-01-01 22:00:00,EQ_M002,Water Pump,12012.3,29.1,8.0,17.09,2.93,20.0,1,100.0
2024-01-01 22:00:00,EQ_M003,Air Handler,9444.5,25.7,6.72,14.68,3.19,24.3,1,100.0
2024-01-01 22:00:00,EQ_B001,Compressor,6563.7,24.6,4.44,21.91,6.65,67.1,0,62.9
2024-01-01 22:00:00,EQ_B002,Water Pump,9023.1,25.6,6.39,18.24,3.1,30.6,1,99.4
2024-01-01 23:00:00,EQ_M001,Compressor,10279.2,24.7,7.61,17.29,6.79,20.0,1,100.0
2024-01-01 23:00:00,EQ_M002,Water Pump,12013.3,28.3,8.0,16.09,3.12,20.0,1,100.0
2024-01-01 23:00:00,EQ_M003,Air Handler,9445.4,25.3,6.87,13.16,2.91,23.8,1,100.0
2024-01-01 23:00:00,EQ_B001,Compressor,6564.4,24.1,4.02,20.37,6.48,68.4,0,61.6
2024-01-01 23:00:00,EQ_B002,Water Pump,9023.6,26.7,6.58,12.76,3.11,30.0,1,100.0
2024-01-02 00:00:00,EQ_M001,Compressor,10279.7,24.6,7.68,22.83,6.12,20.0,1,100.0
2024-01-02 00:00:00,EQ_M002,Water Pump,12014.2,27.0,8.0,14.27,2.85,20.0,1,100.0
2024-01-02 00:00:00,EQ_M003,Air Handler,9445.9,23.9,6.82,13.98,3.03,24.0,1,100.0
2024-01-02 00:00:00,EQ_B001,Compressor,6565.1,24.9,3.71,21.91,6.04,69.3,0,60.7
2024-01-02 00:00:00,EQ_B002,Water Pump,9024.5,23.2,6.39,13.19,2.99,30.5,1,99.5
2024-01-02 01:00:00,EQ_M001,Compressor,10280.3,23.3,7.5,22.08,6.31,20.0,1,100.0
2024-01-02 01:00:00,EQ_M002,Water Pump,12015.0,29.1,8.0,17.63,2.76,20.0,1,100.0
2024-01-02 01:00:00,EQ_M003,Air Handler,9446.5,23.8,6.96,16.3,2.91,23.5,1,100.0
2024-01-02 01:00:00,EQ_B001,Compressor,6565.8,25.7,4.55,22.65,6.18,66.8,0,63.2
2024-01-02 01:00:00,EQ_B002,Water Pump,9025.1,22.5,6.68,15.93,2.86,29.6,1,100.0
2024-01-02 02:00:00,EQ_M001,Compressor,10281.0,25.0,7.38,23.51,6.43,20.0,1,100.0
2024-01-02 02:00:00,EQ_M002,Water Pump,12016.0,27.2,8.0,16.01,2.67,20.0,1,100.0
2024-01-02 02:00:00,EQ_M003,Air Handler,9447.3,25.5,6.83,14.37,3.16,23.9,1,100.0
2024-01-02 02:00:00,EQ_B001,Compressor,6566.3,23.1,3.38,23.23,6.54,70.3,0,59.7
2024-01-02 02:00:00,EQ_B002,Water Pump,9026.0,23.6,6.5,17.01,2.89,30.2,1,99.8
2024-01-02 03:00:00,EQ_M001,Compressor,10281.8,24.9,7.76,20.25,6.29,20.0,1,100.0
2024-01-02 03:00:00,EQ_M002,Water Pump,12016.6,28.0,8.0,17.54,3.22,20.0,1,100.0
2024-01-02 03:00:00,EQ_M003,Air Handler,9448.3,24.0,6.58,13.7,2.78,24.7,1,100.0
2024-01-02 03:00:00,EQ_B001,Compressor,6567.2,24.6,3.95,20.75,6.59,68.6,0,61.4
2024-01-02 03:00:00,EQ_B002,Water Pump,9026.7,24.1,6.62,13.94,3.16,29.8,1,100.0
2024-01-02 04:00:00,EQ_M001,Compressor,10282.7,25.2,7.94,25.16,6.41,20.0,1,100.0
2024-01-02 04:00:00,EQ_M002,Water Pump,12017.4,26.0,8.0,14.01,2.9,20.0,1,100.0
2024-01-02 04:00:00,EQ_M003,Air Handler,9449.1,24.6,7.12,16.12,3.23,23.0,1,100.0
2024-01-02 04:00:00,EQ_B001,Compressor,6568.0,24.5,4.14,21.77,6.58,68.0,0,62.0
2024-01-02 04:00:00,EQ_B002,Water Pump,9027.3,26.5,6.56,13.37,2.76,30.0,1,100.0
2024-01-02 05:00:00,EQ_M001,Compressor,10283.7,24.4,7.72,24.14,6.83,20.0,1,100.0
2024-01-02 05:00:00,EQ_M002,Water Pump,12018.3,29.3,8.0,16.64,2.97,20.0,1,100.0
2024-01-02 05:00:00,EQ_M003,Air Handler,9449.8,24.0,7.04,14.41,3.04,23.2,1,100.0
2024-01-02 05:00:00,EQ_B001,Compressor,6568.8,22.4,4.33,21.09,6.64,67.4,0,62.6
2024-01-02 05:00:00,EQ_B002,Water Pump,9027.9,24.8,6.33,14.15,2.9,30.7,1,99.3
2024-01-02 06:00:00,EQ_M001,Compressor,10284.5,25.2,7.65,19.67,6.82,20.0,1,100.0
2024-01-02 06:00:00,EQ_M002,Water Pump,12019.2,28.5,8.0,14.49,3.09,20.0,1,100.0
2024-01-02 06:00:00,EQ_M003,Air Handler,9450.4,23.6,7.43,15.0,3.13,22.1,1,100.0
2024-01-02 06:00:00,EQ_B001,Compressor,6569.6,24.9,4.24,20.38,6.47,67.7,0,62.3
2024-01-02 06:00:00,EQ_B002,Water Pump,9028.7,26.4,6.27,15.56,2.78,30.8,1,99.2
2024-01-02 07:00:00,EQ_M001,Compressor,10285.5,24.3,7.89,23.66,6.4,20.0,1,100.0
2024-01-02 07:00:00,EQ_M002,Water Pump,12019.7,27.0,8.0,13.25,2.91,20.0,1,100.0
2024-01-02 07:00:00,EQ_M003,Air Handler,9451.0,24.0,7.31,15.07,3.19,22.4,1,100.0
2024-01-02 07:00:00,EQ_B001,Compressor,6570.4,24.7,4.15,20.75,6.6,67.9,0,62.1
2024-01-02 07:00:00,EQ_B002,Water Pump,9029.4,25.5,6.73,16.1,3.21,29.4,1,100.0
2024-01-02 08:00:00,EQ_M001,Compressor,10286.1,27.1,7.56,20.4,6.9,20.0,1,100.0
2024-01-02 08:00:00,EQ_M002,Water Pump,12020.5,29.1,8.0,18.49,2.91,20.0,1,100.0
2024-01-02 08:00:00,EQ_M003,Air Handler,9451.5,24.8,7.41,15.64,2.99,22.1,1,100.0
2024-01-02 08:00:00,EQ_B001,Compressor,6571.1,25.2,3.87,21.75,6.07,68.7,0,61.3
2024-01-02 08:00:00,EQ_B002,Water Pump,9030.3,24.5,6.87,18.08,2.88,29.0,1,100.0
2024-01-02 09:00:00,EQ_M001,Compressor,10287.0,25.5,8.0,23.61,6.04,20.0,1,100.0
2024-01-02 09:00:00,EQ_M002,Water Pump,12021.2,29.3,8.0,11.39,3.21,20.0,1,100.0
2024-01-02 09:00:00,EQ_M003,Air Handler,9452.1,24.6,6.53,13.99,2.65,24.8,1,100.0
2024-01-02 09:00:00,EQ_B001,Compressor,6572.0,24.6,4.49,24.11,6.04,66.9,0,63.1
2024-01-02 09:00:00,EQ_B002,Water Pump,9031.1,23.7,6.58,14.66,2.99,29.9,1,100.0
2024-01-02 10:00:00,EQ_M001,Compressor,10287.9,25.3,7.87,24.99,6.71,20.0,1,100.0
2024-01-02 10:00:00,EQ_M002,Water Pump,12022.1,28.6,8.0,11.21,3.09,20.0,1,100.0
2024-01-02 10:00:00,EQ_M003,Air Handler,9453.1,23.5,7.17,15.82,3.05,22.8,1,100.0
2024-01-02 10:00:00,EQ_B001,Compressor,6572.6,26.4,4.11,19.55,6.65,68.0,0,62.0
2024-01-02 10:00:00,EQ_B002,Water Pump,9031.7,24.5,6.51,14.31,3.1,30.1,1,99.9
2024-01-02 11:00:00,EQ_M001,Compressor,10288.7,22.4,7.46,21.48,5.94,20.0,1,100.0
2024-01-02 11:00:00,EQ_M002,Water Pump,12022.9,30.2,8.0,16.09,2.94,20.0,1,100.0
2024-01-02 11:00:00,EQ_M003,Air Handler,9453.6,23.9,6.98,14.77,2.96,23.4,1,100.0
2024-01-02 11:00:00,EQ_B001,Compressor,6573.1,24.7,3.99,24.46,6.73,68.4,0,61.6
2024-01-02 11:00:00,EQ_B002,Water Pump,9032.3,24.7,6.34,16.05,3.3,30.6,1,99.4
2024-01-02 12:00:00,EQ_M001,Compressor,10289.4,24.3,7.67,21.41,6.29,20.0,1,100.0
2024-01-02 12:00:00,EQ_M002,Water Pump,12023.5,27.3,8.0,15.3,3.11,20.0,1,100.0
2024-01-02 12:00:00,EQ_M003,Air Handler,9454.5,22.5,6.75,12.16,3.08,24.1,1,100.0
2024-01-02 12:00:00,EQ_B001,Compressor,6573.7,25.7,4.39,23.27,5.52,67.2,0,62.8
2024-01-02 12:00:00,EQ_B002,Water Pump,9033.0,25.6,6.38,16.04,3.15,30.5,1,99.5
2024-01-02 13:00:00,EQ_M001,Compressor,10289.9,24.2,7.66,19.62,6.01,20.0,1,100.0
2024-01-02 13:00:00,EQ_M002,Water Pump,12024.0,28.3,8.0,13.51,2.91,20.0,1,100.0
2024-01-02 13:00:00,EQ_M003,Air Handler,9455.3,23.6,6.88,13.35,2.59,23.7,1,100.0
2024-01-02 13:00:00,EQ_B001,Compressor,6574.5,25.5,4.48,27.6,6.34,66.9,0,63.1
2024-01-02 13:00:00,EQ_B002,Water Pump,9033.7,23.2,6.49,13.73,2.96,30.1,1,99.9
2024-01-02 14:00:00,EQ_M001,Compressor,10290.5,24.9,8.0,21.32,6.91,20.0,1,100.0
2024-01-02 14:00:00,EQ_M002,Water Pump,12024.8,29.5,8.0,12.88,3.14,20.0,1,100.0
2024-01-02 14:00:00,EQ_M003,Air Handler,9456.1,23.4,7.38,15.57,2.8,22.2,1,100.0
2024-01-02 14:00:00,EQ_B001,Compressor,6575.4,23.7,4.05,18.51,6.77,68.2,0,61.8
2024-01-02 14:00:00,EQ_B002,Water Pump,9034.3,25.0,6.63,11.7,2.94,29.7,1,100.0
2024-01-02 15:00:00,EQ_M001,Compressor,10291.4,25.8,7.86,21.28,6.22,20.0,1,100.0
2024-01-02 15:00:00,EQ_M002,Water Pump,12025.3,28.8,8.0,13.17,3.04,20.0,1,100.0
2024-01-02 15:00:00,EQ_M003,Air Handler,9456.7,25.5,7.04,15.65,3.04,23.2,1,100.0
2024-01-02 15:00:00,EQ_B001,Compressor,6576.0,24.5,4.43,26.29,6.48,67.0,0,63.0
2024-01-02 15:00:00,EQ_B002,Water Pump,9034.9,25.9,6.83,15.27,2.81,29.1,1,100.0
2024-01-02 16:00:00,EQ_M001,Compressor,10292.1,24.8,7.51,18.0,6.65,20.0,1,100.0
2024-01-02 16:00:00,EQ_M002,Water Pump,12026.2,28.9,8.0,16.21,3.1,20.0,1,100.0
2024-01-02 16:00:00,EQ_M003,Air Handler,9457.5,23.5,6.89,13.41,2.61,23.6,1,100.0
2024-01-02 16:00:00,EQ_B001,Compressor,6576.8,24.4,3.99,22.36,5.99,68.3,0,61.7
2024-01-02 16:00:00,EQ_B002,Water Pump,9035.8,23.8,7.12,13.44,3.28,28.2,1,100.0
2024-01-02 17:00:00,EQ_M001,Compressor,10292.7,25.7,7.83,19.23,6.54,20.0,1,100.0
2024-01-02 17:00:00,EQ_M002,Water Pump,12027.1,28.7,8.0,14.03,2.93,20.0,1,100.0
2024-01-02 17:00:00,EQ_M003,Air Handler,9458.4,24.4,6.4,16.49,3.12,25.1,1,100.0
2024-01-02 17:00:00,EQ_B001,Compressor,6577.4,24.4,4.13,23.9,6.42,67.9,0,62.1
2024-01-02 17:00:00,EQ_B002,Water Pump,9036.5,24.8,6.37,14.46,3.01,30.4,1,99.6
2024-01-02 18:00:00,EQ_M001,Compressor,10293.2,25.5,8.0,20.68,6.47,20.0,1,100.0
2024-01-02 18:00:00,EQ_M002,Water Pump,12027.7,27.8,8.0,13.62,3.15,20.0,1,100.0
2024-01-02 18:00:00,EQ_M003,Air Handler,9459.4,23.6,6.56,16.24,3.11,24.6,1,100.0
2024-01-02 18:00:00,EQ_B001,Compressor,6578.1,23.5,4.06,21.4,6.54,68.1,0,61.9
2024-01-02 18:00:00,EQ_B002,Water Pump,9037.2,24.2,6.71,13.99,2.86,29.4,1,100.0
2024-01-02 19:00:00,EQ_M001,Compressor,10293.9,25.6,7.56,24.97,5.66,20.0,1,100.0
2024-01-02 19:00:00,EQ_M002,Water Pump,12028.6,28.5,8.0,14.49,3.18,20.0,1,100.0
2024-01-02 19:00:00,EQ_M003,Air Handler,9460.4,25.1,7.18,16.33,3.3,22.7,1,100.0
2024-01-02 19:00:00,EQ_B001,Compressor,6578.8,25.8,3.79,23.12,6.51,68.9,0,61.1
2024-01-02 19:00:00,EQ_B002,Water Pump,9037.8,23.4,6.63,16.04,3.08,29.6,1,100.0
2024-01-02 20:00:00,EQ_M001,Compressor,10294.8,24.7,7.65,20.74,6.76,20.0,1,100.0
2024-01-02 20:00:00,EQ_M002,Water Pump,12029.3,30.6,8.0,13.45,3.09,20.0,1,100.0
2024-01-02 20:00:00,EQ_M003,Air Handler,9461.2,24.4,6.38,15.22,3.03,25.1,1,100.0
2024-01-02 20:00:00,EQ_B001,Compressor,6579.5,26.6,4.26,21.44,6.51,67.5,0,62.5
2024-01-02 20:00:00,EQ_B002,Water Pump,9038.7,24.1,6.38,12.56,3.22,30.4,1,99.6
2024-01-02 21:00:00,EQ_M001,Compressor,10295.4,24.3,8.0,21.36,6.55,20.0,1,100.0
2024-01-02 21:00:00,EQ_M002,Water Pump,12030.1,28.8,8.0,14.88,3.02,20.0,1,100.0
2024-01-02 21:00:00,EQ_M003,Air Handler,9462.0,23.3,6.42,13.85,2.8,25.0,1,100.0
2024-01-02 21:00:00,EQ_B001,Compressor,6580.1,24.4,4.42,21.2,6.45,67.0,0,63.0
2024-01-02 21:00:00,EQ_B002,Water Pump,9039.4,23.3,5.77,17.42,3.18,32.2,1,97.8
2024-01-02 22:00:00,EQ_M001,Compressor,10296.3,24.4,7.97,22.84,6.53,20.0,1,100.0
2024-01-02 22:00:00,EQ_M002,Water Pump,12031.0,27.0,8.0,13.05,2.93,20.0,1,100.0
2024-01-02 22:00:00,EQ_M003,Air Handler,9462.9,26.0,7.11,14.33,2.95,22.9,1,100.0
2024-01-02 22:00:00,EQ_B001,Compressor,6580.9,27.0,4.24,21.91,6.08,67.5,0,62.5
2024-01-02 22:00:00,EQ_B002,Water Pump,9040.1,24.2,6.55,16.43,2.72,29.8,1,100.0
2024-01-02 23:00:00,EQ_M001,Compressor,10297.0,25.7,7.57,18.29,6.3,20.0,1,100.0
2024-01-02 23:00:00,EQ_M002,Water Pump,12031.6,29.9,8.0,14.09,3.22,20.0,1,100.0
2024-01-02 23:00:00,EQ_M003,Air Handler,9463.7,23.2,6.65,13.3,2.58,24.3,1,100.0
2024-01-02 23:00:00,EQ_B001,Compressor,6581.8,25.0,4.46,23.96,6.17,66.8,0,63.2
2024-01-02 23:00:00,EQ_B002,Water Pump,9040.7,23.1,6.41,15.94,3.06,30.3,1,99.7
2024-01-03 00:00:00,EQ_M001,Compressor,10297.8,23.0,7.67,24.63,6.25,20.0,1,100.0
2024-01-03 00:00:00,EQ_M002,Water Pump,12032.2,24.9,8.0,13.94,3.42,20.0,1,100.0
2024-01-03 00:00:00,EQ_M003,Air Handler,9464.3,24.2,6.97,15.1,2.93,23.3,1,100.0
2024-01-03 00:00:00,EQ_B001,Compressor,6582.6,23.6,4.14,19.73,6.25,67.8,0,62.2
2024-01-03 00:00:00,EQ_B002,Water Pump,9041.4,25.1,6.77,15.3,3.02,29.2,1,100.0
